change,date,time,file_add,file_del,file_change,line_add,line_del,line_change
1025054,2017/04/12,17:38:55,1,0,0,0,0,0
1024826,2017/04/12,14:37:43,0,0,1,0,0,6
1024788,2017/04/12,13:53:16,0,0,1,2,0,0
1024714,2017/04/12,12:36:00,141,0,2,17208,2,10
1024558,2017/04/12,10:20:52,0,139,4,3,11654,12
1024221,2017/04/11,16:59:01,139,0,0,11654,0,0
1024048,2017/04/11,14:53:35,6,0,3,1134,0,9
1021539,2017/04/06,17:41:35,0,0,1,5,0,9
1021484,2017/04/06,17:09:05,0,0,3,6,0,10
1021361,2017/04/06,16:07:07,1,0,3,502,0,15
1020364,2017/04/05,16:02:19,2,0,11,137,7,39
1012703,2017/03/23,09:31:49,0,0,1,0,0,4
1010003,2017/03/17,14:32:14,3,0,36,1337,19,73
1009765,2017/03/17,10:00:31,0,0,1,0,2,0
1003319,2017/03/06,10:22:43,0,0,7,4,16,10
1001853,2017/03/02,13:44:13,0,0,1,6,0,0
1001821,2017/03/02,13:17:30,0,0,1,0,0,1
1001815,2017/03/02,13:12:22,1,0,1,16,0,0
1001792,2017/03/02,12:51:34,0,0,1,0,0,3
1001699,2017/03/02,11:30:52,0,0,8,5,2,24
1001461,2017/03/02,10:03:23,0,0,1,7,0,8
1001414,2017/03/02,09:02:47,0,0,1,2,0,0
1001307,2017/03/01,21:09:15,0,0,0,0,0,0
1001140,2017/03/01,17:18:17,0,0,7,20,1,10
1000735,2017/03/01,11:32:35,0,0,2,0,0,2
1000620,2017/03/01,09:28:26,0,0,2,15,0,3
1000082,2017/02/28,15:07:21,5,0,30,826,43,91
997013,2017/02/22,09:29:17,0,0,4,9,1,8
996721,2017/02/21,16:09:35,0,0,7,11,2,31
996639,2017/02/21,14:36:05,0,0,16,6,6,19
996624,2017/02/21,14:26:37,0,0,64,0,0,73
996608,2017/02/21,14:11:06,0,0,20,16,3,53
996494,2017/02/21,11:38:34,2,0,7,182,6,8
996356,2017/02/21,09:20:25,0,0,1,7,0,0
996089,2017/02/20,15:21:29,0,0,39,114,1,50
996017,2017/02/20,13:48:37,0,0,55,0,11,103
996005,2017/02/20,13:36:35,0,2,62,23,69,170
995990,2017/02/20,13:09:17,0,0,1,0,0,2
995861,2017/02/20,10:24:03,0,0,2,0,0,0
995680,2017/02/17,18:56:40,0,0,2,1,7,2
995635,2017/02/17,17:01:40,0,0,6,6,1,26
995568,2017/02/17,15:38:19,0,0,4,16,2,7
995519,2017/02/17,14:23:40,0,0,1,0,0,1
995516,2017/02/17,14:16:38,0,0,4,0,23,1
